,Food,Mines,Oil,Clths,Durbl,Chems,Cnsum,Cnstr,Steel,FabPr,Machn,Cars,Trans,Utils,Rtail,Finan,Other
1995-08-01,-0.0002,0.0116,-0.016399999999999998,0.0014000000000000002,0.0096,-0.0006,0.002,-0.016,-0.0062,-0.0113,-0.0017000000000000001,0.0078000000000000005,-0.0034999999999999996,0.009899999999999999,-0.0308,0.052000000000000005,0.0195
1995-09-01,0.0858,0.0029,0.0123,0.0149,0.0006,0.0253,0.0788,0.0191,-0.049699999999999994,-0.0405,0.0141,-0.0040999999999999995,0.038,0.063,0.0392,0.057699999999999994,0.031200000000000002
1995-10-01,0.0175,-0.0862,-0.0017000000000000001,-0.0541,-0.0195,-0.0559,0.031,-0.022799999999999997,-0.061500000000000006,-0.068,0.0103,-0.0541,-0.0215,0.0148,-0.067,-0.0192,-0.011000000000000001
1995-11-01,0.042199999999999994,0.0818,0.049,0.023700000000000002,0.0553,0.0639,0.053200000000000004,0.0724,0.0857,0.0736,0.0006,0.054299999999999994,0.0751,0.0158,0.058899999999999994,0.0674,0.036000000000000004
1995-12-01,0.014499999999999999,0.0255,0.0571,0.0229,-0.0129,0.0208,0.0407,0.0199,-0.0163,-0.004699999999999999,-0.020099999999999996,0.0426,0.011000000000000001,0.051,-0.0199,0.0124,0.0182
1996-01-01,0.0305,0.1384,-0.0046,-0.03,0.031400000000000004,0.0555,0.0541,0.0144,0.042699999999999995,0.0132,0.0348,0.030899999999999997,0.0077,0.018600000000000002,0.0019,0.0383,0.020499999999999997
1996-02-01,0.0334,0.0217,0.0102,0.023799999999999998,0.0102,0.031200000000000002,-0.0113,-0.0191,-0.009899999999999999,0.0601,0.0479,0.018000000000000002,0.0332,-0.026699999999999998,0.0587,0.0212,0.0074
1996-03-01,-0.0143,0.0002,0.049400000000000006,0.081,0.0091,0.0562,0.0031,0.0412,0.060700000000000004,0.016200000000000003,-0.0236,0.067,0.0346,-0.0052,0.0641,0.0102,0.0026
1996-04-01,-0.0052,0.008199999999999999,0.0369,0.048600000000000004,0.0452,-0.011000000000000001,-0.0078000000000000005,0.0209,0.013999999999999999,0.0512,0.0672,0.032,0.0184,-0.026600000000000002,0.044500000000000005,-0.0105,0.045899999999999996
1996-05-01,0.0723,0.0425,0.0049,0.0678,0.0317,-0.0044,0.0462,0.0327,-0.0034000000000000002,0.0137,0.0355,0.0175,0.0089,0.0132,0.0414,0.0143,0.023399999999999997
1996-06-01,0.0405,-0.1061,0.009899999999999999,0.0017000000000000001,-0.0034999999999999996,-0.0236,0.0192,0.0088,-0.06480000000000001,-0.001,-0.045,-0.0509,-0.0046,0.0527,-0.016399999999999998,0.0069,-0.0149
1996-07-01,-0.0429,-0.0325,-0.0454,-0.0451,-0.062,-0.0322,-0.036000000000000004,-0.047400000000000005,-0.0669,-0.0746,-0.061200000000000004,-0.045,-0.0492,-0.0581,-0.0751,-0.0245,-0.0828
1996-08-01,0.01,0.03,0.028900000000000002,0.052000000000000005,0.024300000000000002,0.0346,0.0033,0.0333,0.0621,0.06309999999999999,0.0475,0.030699999999999998,0.0341,0.028900000000000002,0.0693,0.0425,0.0232
